k, x, p
96,135.433,0.005
96,140.755,0.002
97,64.878,0.995
97,67.562,0.99
97,71.642,0.975
97,75.282,0.95
97,79.633,0.9
97,87.278,0.75
97,96.334,0.5
97,105.997,0.25
97,115.223,0.1
97,120.99,0.05
97,126.141,0.025
97,132.309,0.01
97,136.619,0.005
97,141.962,0.002
98,65.694,0.995
98,68.396,0.99
98,72.501,0.975
98,76.164,0.95
98,80.541,0.9
98,88.229,0.75
98,97.334,0.5
98,107.045,0.25
98,116.315,0.1
98,122.108,0.05
98,127.282,0.025
98,133.476,0.01
98,137.803,0.005
98,143.168,0.002
99,66.51,0.995
99,69.23,0.99
99,73.361,0.975
99,77.046,0.95
99,81.449,0.9
99,89.181,0.75
99,98.334,0.5
99,108.093,0.25
99,117.407,0.1
99,123.225,0.05
99,128.422,0.025
99,134.642,0.01
99,138.987,0.005
99,144.373,0.002
100,67.328,0.995
100,70.065,0.99
100,74.222,0.975
100,77.929,0.95
100,82.358,0.9
100,90.133,0.75
100,99.334,0.5
100,109.141,0.25
100,118.498,0.1
100,124.342,0.05
100,129.561,0.025
100,135.807,0.01
100,140.169,0.005
100,145.577,0.002
101,68.146,0.995
101,70.901,0.99
101,75.083,0.975
101,78.813,0.95
101,83.267,0.9
101,91.085,0.75
101,100.334,0.5
101,110.189,0.25
101,119.589,0.1
101,125.458,0.05
101,130.7,0.025
101,136.971,0.01
101,141.351,0.005
101,146.78,0.002
102,68.965,0.995
102,71.737,0.99
102,75.946,0.975
102,79.697,0.95
102,84.177,0.9
102,92.038,0.75
102,101.334,0.5
102,111.236,0.25
102,120.679,0.1
102,126.574,0.05
102,131.838,0.025
102,138.134,0.01
102,142.532,0.005
102,147.982,0.002
103,69.785,0.995
103,72.575,0.99
103,76.809,0.975
103,80.582,0.95
103,85.088,0.9
103,92.991,0.75
103,102.334,0.5
103,112.284,0.25
103,121.769,0.1
103,127.689,0.05
103,132.975,0.025
103,139.297,0.01
103,143.712,0.005
103,149.183,0.002
104,70.606,0.995
104,73.413,0.99
104,77.672,0.975
104,81.468,0.95
104,85.998,0.9
104,93.944,0.75
104,103.334,0.5
104,113.331,0.25
104,122.858,0.1
104,128.804,0.05
104,134.111,0.025
104,140.459,0.01
104,144.891,0.005
104,150.383,0.002
105,71.428,0.995
105,74.252,0.99
105,78.536,0.975
105,82.354,0.95
105,86.909,0.9
105,94.897,0.75
105,104.334,0.5
105,114.378,0.25
105,123.947,0.1
105,129.918,0.05
105,135.247,0.025
105,141.62,0.01
105,146.07,0.005
105,151.582,0.002
106,72.251,0.995
106,75.092,0.99
106,79.401,0.975
106,83.24,0.95
106,87.821,0.9
106,95.85,0.75
106,105.334,0.5
106,115.424,0.25
106,125.035,0.1
106,131.031,0.05
106,136.382,0.025
106,142.78,0.01
106,147.247,0.005
106,152.78,0.002
107,73.075,0.995
107,75.932,0.99
107,80.267,0.975
107,84.127,0.95
107,88.733,0.9
107,96.804,0.75
107,106.334,0.5
107,116.471,0.25
107,126.123,0.1
107,132.144,0.05
107,137.517,0.025
107,143.94,0.01
107,148.424,0.005
107,153.977,0.002
108,73.899,0.995
108,76.774,0.99
108,81.133,0.975
108,85.015,0.95
108,89.645,0.9
108,97.758,0.75
108,107.334,0.5
108,117.517,0.25
108,127.211,0.1
108,133.257,0.05
108,138.651,0.025
108,145.099,0.01
108,149.599,0.005
108,155.173,0.002
109,74.724,0.995
109,77.616,0.99
109,82,0.975
109,85.903,0.95
109,90.558,0.9
109,98.712,0.75
109,108.334,0.5
109,118.563,0.25
109,128.298,0.1
109,134.369,0.05
109,139.784,0.025
109,146.257,0.01
109,150.774,0.005
109,156.369,0.002
110,75.55,0.995
110,78.458,0.99
110,82.867,0.975
110,86.792,0.95
110,91.471,0.9
110,99.666,0.75
110,109.334,0.5
110,119.608,0.25
110,129.385,0.1
110,135.48,0.05
110,140.917,0.025
110,147.414,0.01
110,151.948,0.005
110,157.563,0.002
111,76.377,0.995
111,79.302,0.99
111,83.735,0.975
111,87.681,0.95
111,92.385,0.9
111,100.62,0.75
111,110.334,0.5
111,120.654,0.25
111,130.472,0.1
111,136.591,0.05
111,142.049,0.025
111,148.571,0.01
111,153.122,0.005
111,158.757,0.002
112,77.204,0.995
112,80.146,0.99
112,84.604,0.975
112,88.57,0.95
112,93.299,0.9
112,101.575,0.75
112,111.334,0.5
112,121.699,0.25
112,131.558,0.1
112,137.701,0.05
112,143.18,0.025
112,149.727,0.01
112,154.294,0.005
112,159.95,0.002
113,78.033,0.995
113,80.991,0.99
113,85.473,0.975
113,89.461,0.95
113,94.213,0.9
113,102.53,0.75
113,112.334,0.5
113,122.744,0.25
113,132.643,0.1
113,138.811,0.05
113,144.311,0.025
113,150.882,0.01
113,155.466,0.005
113,161.141,0.002
114,78.862,0.995
114,81.836,0.99
114,86.342,0.975
114,90.351,0.95
114,95.128,0.9
114,103.485,0.75
114,113.334,0.5
114,123.789,0.25
114,133.729,0.1
114,139.921,0.05
114,145.441,0.025
114,152.037,0.01
114,156.637,0.005
114,162.332,0.002
115,79.692,0.995
115,82.682,0.99
115,87.213,0.975
115,91.242,0.95
115,96.043,0.9
115,104.44,0.75
115,114.334,0.5
115,124.834,0.25
115,134.813,0.1
115,141.03,0.05
115,146.571,0.025
115,153.191,0.01
115,157.808,0.005
115,163.523,0.002
116,80.522,0.995
116,83.529,0.99
116,88.084,0.975
116,92.134,0.95
116,96.958,0.9
116,105.396,0.75
116,115.334,0.5
116,125.878,0.25
116,135.898,0.1
116,142.138,0.05
116,147.7,0.025
116,154.344,0.01
116,158.977,0.005
116,164.712,0.002
117,81.353,0.995
117,84.377,0.99
117,88.955,0.975
117,93.026,0.95
117,97.874,0.9
117,106.352,0.75
117,116.334,0.5
117,126.923,0.25
117,136.982,0.1
117,143.246,0.05
117,148.829,0.025
117,155.496,0.01
117,160.146,0.005
117,165.9,0.002
118,82.185,0.995
118,85.225,0.99
118,89.827,0.975
118,93.918,0.95
118,98.79,0.9
118,107.307,0.75
118,117.334,0.5
118,127.967,0.25
118,138.066,0.1
118,144.354,0.05
118,149.957,0.025
118,156.648,0.01
118,161.314,0.005
118,167.088,0.002
119,83.018,0.995
119,86.074,0.99
119,90.7,0.975
119,94.811,0.95
119,99.707,0.9
119,108.263,0.75
119,118.334,0.5
119,129.011,0.25
119,139.149,0.1
119,145.461,0.05
119,151.084,0.025
119,157.8,0.01
119,162.481,0.005
119,168.275,0.002
120,83.852,0.995
120,86.923,0.99
120,91.573,0.975
120,95.705,0.95
120,100.624,0.9
120,109.22,0.75
120,119.334,0.5
120,130.055,0.25
120,140.233,0.1
120,146.567,0.05
120,152.211,0.025
120,158.95,0.01
120,163.648,0.005
120,169.461,0.002
121,84.686,0.995
121,87.773,0.99
121,92.446,0.975
121,96.598,0.95
121,101.541,0.9
121,110.176,0.75
121,120.334,0.5
121,131.098,0.25
121,141.315,0.1
121,147.674,0.05
121,153.338,0.025
121,160.1,0.01
121,164.814,0.005
121,170.647,0.002
122,85.52,0.995
122,88.624,0.99
122,93.32,0.975
122,97.493,0.95
122,102.458,0.9
122,111.133,0.75
122,121.334,0.5
122,132.142,0.25
122,142.398,0.1
122,148.779,0.05
122,154.464,0.025
122,161.25,0.01
122,165.98,0.005
122,171.831,0.002
123,86.356,0.995
123,89.475,0.99
123,94.195,0.975
123,98.387,0.95
123,103.376,0.9
123,112.089,0.75
123,122.334,0.5
123,133.185,0.25
123,143.48,0.1
123,149.885,0.05
123,155.589,0.025
123,162.398,0.01
123,167.144,0.005
123,173.015,0.002
124,87.192,0.995
124,90.327,0.99
124,95.07,0.975
124,99.283,0.95
124,104.295,0.9
124,113.046,0.75
124,123.334,0.5
124,134.228,0.25
124,144.562,0.1
124,150.989,0.05
124,156.714,0.025
124,163.546,0.01
124,168.308,0.005
124,174.198,0.002
125,88.029,0.995
125,91.18,0.99
125,95.946,0.975
125,100.178,0.95
125,105.213,0.9
125,114.004,0.75
125,124.334,0.5
125,135.271,0.25
125,145.643,0.1
125,152.094,0.05
125,157.839,0.025
125,164.694,0.01
125,169.471,0.005
125,175.38,0.002
126,88.866,0.995
126,92.033,0.99
126,96.822,0.975
126,101.074,0.95
126,106.132,0.9
126,114.961,0.75
126,125.334,0.5
126,136.313,0.25
126,146.724,0.1
126,153.198,0.05
126,158.962,0.025
126,165.841,0.01
126,170.634,0.005
126,176.562,0.002
127,89.704,0.995
127,92.887,0.99
127,97.698,0.975
127,101.971,0.95
127,107.051,0.9
127,115.918,0.75
127,126.334,0.5
127,137.356,0.25
127,147.805,0.1
127,154.302,0.05
127,160.086,0.025
127,166.987,0.01
127,171.796,0.005
127,177.743,0.002
128,90.543,0.995
128,93.741,0.99
128,98.576,0.975
128,102.867,0.95
128,107.971,0.9
128,116.876,0.75
128,127.334,0.5
128,138.398,0.25
128,148.885,0.1
128,155.405,0.05
128,161.209,0.025
128,168.133,0.01
128,172.957,0.005
128,178.923,0.002
129,91.382,0.995
129,94.596,0.99
129,99.453,0.975
129,103.765,0.95
129,108.891,0.9
129,117.834,0.75
129,128.334,0.5
129,139.44,0.25
129,149.965,0.1
129,156.508,0.05
129,162.331,0.025
129,169.278,0.01
129,174.118,0.005
129,180.103,0.002
130,92.222,0.995
130,95.451,0.99
130,100.331,0.975
130,104.662,0.95
130,109.811,0.9
130,118.792,0.75
130,129.334,0.5
130,140.482,0.25
130,151.045,0.1
130,157.61,0.05
130,163.453,0.025
130,170.423,0.01
130,175.278,0.005
130,181.282,0.002
131,93.063,0.995
131,96.307,0.99
131,101.21,0.975
131,105.56,0.95
131,110.732,0.9
131,119.75,0.75
131,130.334,0.5
131,141.524,0.25
131,152.125,0.1
131,158.712,0.05
131,164.575,0.025
131,171.567,0.01
131,176.438,0.005
131,182.46,0.002
132,93.904,0.995
132,97.163,0.99
132,102.089,0.975
132,106.459,0.95
132,111.652,0.9
132,120.708,0.75
132,131.334,0.5
132,142.566,0.25
132,153.204,0.1
132,159.814,0.05
132,165.696,0.025
132,172.711,0.01
132,177.597,0.005
132,183.637,0.002
133,94.746,0.995
133,98.02,0.99
133,102.968,0.975
133,107.357,0.95
133,112.573,0.9
133,121.667,0.75
133,132.334,0.5
133,143.608,0.25
133,154.283,0.1
133,160.915,0.05
133,166.816,0.025
133,173.854,0.01
133,178.755,0.005
133,184.814,0.002
134,95.588,0.995
134,98.878,0.99
134,103.848,0.975
134,108.257,0.95
134,113.495,0.9
134,122.625,0.75
134,133.334,0.5
134,144.649,0.25
134,155.361,0.1
134,162.016,0.05
134,167.936,0.025
134,174.996,0.01
134,179.913,0.005
134,185.99,0.002
135,96.431,0.995
135,99.736,0.99
135,104.729,0.975
135,109.156,0.95
135,114.417,0.9
135,123.584,0.75
135,134.334,0.5
135,145.69,0.25
135,156.44,0.1
135,163.116,0.05
135,169.056,0.025
135,176.138,0.01
135,181.07,0.005
135,187.165,0.002
136,97.275,0.995
136,100.595,0.99
136,105.609,0.975
136,110.056,0.95
136,115.338,0.9
136,124.543,0.75
136,135.334,0.5
136,146.731,0.25
136,157.518,0.1
136,164.216,0.05
136,170.175,0.025
136,177.28,0.01
136,182.226,0.005
136,188.34,0.002
137,98.119,0.995
137,101.454,0.99
137,106.491,0.975
137,110.956,0.95
137,116.261,0.9
137,125.502,0.75
137,136.334,0.5
137,147.772,0.25
137,158.595,0.1
137,165.316,0.05
137,171.294,0.025
137,178.421,0.01
137,183.382,0.005
137,189.514,0.002
138,98.964,0.995
138,102.314,0.99
138,107.372,0.975
138,111.857,0.95
138,117.183,0.9
138,126.461,0.75
138,137.334,0.5
138,148.813,0.25
138,159.673,0.1
138,166.415,0.05
138,172.412,0.025
138,179.561,0.01
138,184.538,0.005
138,190.688,0.002
139,99.809,0.995
139,103.174,0.99
139,108.254,0.975
139,112.758,0.95
139,118.106,0.9
139,127.421,0.75
139,138.334,0.5
139,149.854,0.25
139,160.75,0.1
139,167.514,0.05
139,173.53,0.025
139,180.701,0.01
139,185.693,0.005
139,191.861,0.002
140,100.655,0.995
140,104.034,0.99
140,109.137,0.975
140,113.659,0.95
140,119.029,0.9
140,128.38,0.75
140,139.334,0.5
140,150.894,0.25
140,161.827,0.1
140,168.613,0.05
140,174.648,0.025
140,181.84,0.01
140,186.847,0.005
140,193.033,0.002
141,101.501,0.995
141,104.896,0.99
141,110.02,0.975
141,114.561,0.95
141,119.953,0.9
141,129.34,0.75
141,140.334,0.5
141,151.934,0.25
141,162.904,0.1
141,169.711,0.05
141,175.765,0.025
141,182.979,0.01
141,188.001,0.005
141,194.205,0.002
142,102.348,0.995
142,105.757,0.99
142,110.903,0.975
142,115.463,0.95
142,120.876,0.9
142,130.299,0.75
142,141.334,0.5
142,152.975,0.25
142,163.98,0.1
142,170.809,0.05
142,176.882,0.025
142,184.118,0.01
142,189.154,0.005
142,195.376,0.002
143,103.196,0.995
143,106.619,0.99
143,111.787,0.975
143,116.366,0.95
143,121.8,0.9
143,131.259,0.75
143,142.334,0.5
143,154.015,0.25
143,165.056,0.1
143,171.907,0.05
143,177.998,0.025
143,185.256,0.01
143,190.306,0.005
143,196.546,0.002
144,104.044,0.995
144,107.482,0.99
144,112.671,0.975
144,117.268,0.95
144,122.724,0.9
144,132.219,0.75
144,143.334,0.5
144,155.055,0.25
144,166.132,0.1
144,173.004,0.05
144,179.114,0.025
144,186.393,0.01
144,191.458,0.005
144,197.716,0.002
145,104.892,0.995
145,108.345,0.99
145,113.556,0.975
145,118.171,0.95
145,123.649,0.9
145,133.18,0.75
145,144.334,0.5
145,156.094,0.25
145,167.207,0.1
145,174.101,0.05
145,180.229,0.025
145,187.53,0.01
145,192.61,0.005
145,198.885,0.002
146,105.741,0.995
146,109.209,0.99
146,114.441,0.975
146,119.075,0.95
146,124.574,0.9
146,134.14,0.75
146,145.334,0.5
146,157.134,0.25
146,168.283,0.1
146,175.198,0.05
146,181.344,0.025
146,188.666,0.01
146,193.761,0.005
146,200.054,0.002
147,106.591,0.995
147,110.073,0.99
147,115.326,0.975
147,119.979,0.95
147,125.499,0.9
147,135.101,0.75
147,146.334,0.5
147,158.174,0.25
147,169.358,0.1
147,176.294,0.05
147,182.459,0.025
147,189.802,0.01
147,194.912,0.005
147,201.222,0.002
148,107.441,0.995
148,110.937,0.99
148,116.212,0.975
148,120.883,0.95
148,126.424,0.9
148,136.061,0.75
148,147.334,0.5
148,159.213,0.25
148,170.432,0.1
148,177.39,0.05
148,183.573,0.025
148,190.938,0.01
148,196.062,0.005
148,202.39,0.002
149,108.291,0.995
149,111.802,0.99
149,117.098,0.975
149,121.787,0.95
149,127.349,0.9
149,137.022,0.75
149,148.334,0.5
149,160.252,0.25
149,171.507,0.1
149,178.485,0.05
149,184.687,0.025
149,192.073,0.01
149,197.211,0.005
149,203.557,0.002
150,109.142,0.995
150,112.668,0.99
150,117.985,0.975
150,122.692,0.95
150,128.275,0.9
150,137.983,0.75
150,149.334,0.5
150,161.291,0.25
150,172.581,0.1
150,179.581,0.05
150,185.8,0.025
150,193.208,0.01
150,198.36,0.005
150,204.723,0.002
151,109.994,0.995
151,113.533,0.99
151,118.871,0.975
151,123.597,0.95
151,129.201,0.9
151,138.944,0.75
151,150.334,0.5
151,162.33,0.25
151,173.655,0.1
151,180.676,0.05
151,186.914,0.025
151,194.342,0.01
151,199.509,0.005
151,205.889,0.002
152,110.846,0.995
152,114.4,0.99
152,119.759,0.975
152,124.502,0.95
152,130.127,0.9
152,139.905,0.75
152,151.334,0.5
152,163.369,0.25
152,174.729,0.1
152,181.77,0.05
152,188.026,0.025
152,195.476,0.01
152,200.657,0.005
152,207.054,0.002
153,111.698,0.995
153,115.266,0.99
153,120.646,0.975
153,125.408,0.95
153,131.054,0.9
153,140.866,0.75
153,152.334,0.5
153,164.408,0.25
153,175.803,0.1
153,182.865,0.05
153,189.139,0.025
153,196.609,0.01
153,201.804,0.005
153,208.219,0.002
154,112.551,0.995
154,116.134,0.99
154,121.534,0.975
154,126.314,0.95
154,131.98,0.9
154,141.828,0.75
154,153.334,0.5
154,165.446,0.25
154,176.876,0.1
154,183.959,0.05
154,190.251,0.025
154,197.742,0.01
154,202.951,0.005
154,209.383,0.002
155,113.405,0.995
155,117.001,0.99
155,122.423,0.975
155,127.22,0.95
155,132.907,0.9
155,142.789,0.75
155,154.334,0.5
155,166.485,0.25
155,177.949,0.1
155,185.052,0.05
155,191.362,0.025
155,198.874,0.01
155,204.098,0.005
155,210.547,0.002
156,114.259,0.995
156,117.869,0.99
156,123.312,0.975
156,128.127,0.95
156,133.835,0.9
156,143.751,0.75
156,155.334,0.5
156,167.523,0.25
156,179.022,0.1
156,186.146,0.05
156,192.474,0.025
156,200.006,0.01
156,205.244,0.005
156,211.71,0.002
157,115.113,0.995
157,118.738,0.99
157,124.201,0.975
157,129.034,0.95
157,134.762,0.9
157,144.713,0.75
157,156.334,0.5
157,168.561,0.25
157,180.094,0.1
157,187.239,0.05
157,193.584,0.025
157,201.138,0.01
157,206.39,0.005
157,212.873,0.002
158,115.968,0.995
158,119.607,0.99
158,125.09,0.975
158,129.941,0.95
158,135.69,0.9
158,145.675,0.75
158,157.334,0.5
158,169.599,0.25
158,181.167,0.1
158,188.332,0.05
158,194.695,0.025
158,202.269,0.01
158,207.535,0.005
158,214.035,0.002
159,116.823,0.995
159,120.476,0.99
159,125.98,0.975
159,130.848,0.95
159,136.618,0.9
159,146.637,0.75
159,158.334,0.5
159,170.637,0.25
159,182.239,0.1
159,189.424,0.05
159,195.805,0.025
159,203.4,0.01
159,208.68,0.005
159,215.197,0.002
160,117.679,0.995
160,121.346,0.99
160,126.87,0.975
160,131.756,0.95
160,137.546,0.9
160,147.599,0.75
160,159.334,0.5
160,171.675,0.25
160,183.311,0.1
160,190.516,0.05
160,196.915,0.025
160,204.53,0.01
160,209.824,0.005
160,216.358,0.002
161,118.536,0.995
161,122.216,0.99
161,127.761,0.975
161,132.664,0.95
161,138.474,0.9
161,148.561,0.75
161,160.334,0.5
161,172.713,0.25
161,184.382,0.1
161,191.608,0.05
161,198.025,0.025
161,205.66,0.01
161,210.968,0.005
161,217.518,0.002
162,119.392,0.995
162,123.086,0.99
162,128.651,0.975
162,133.572,0.95
162,139.403,0.9
162,149.523,0.75
162,161.334,0.5
162,173.751,0.25
162,185.454,0.1
162,192.7,0.05
162,199.134,0.025
162,206.79,0.01
162,212.111,0.005
162,218.678,0.002
163,120.249,0.995
163,123.957,0.99
163,129.543,0.975
163,134.481,0.95
163,140.331,0.9
163,150.486,0.75
163,162.334,0.5
163,174.788,0.25
163,186.525,0.1
163,193.791,0.05
163,200.243,0.025
163,207.919,0.01
163,213.254,0.005
163,219.838,0.002
164,121.107,0.995
164,124.828,0.99
164,130.434,0.975
164,135.39,0.95
164,141.26,0.9
164,151.449,0.75
164,163.334,0.5
164,175.825,0.25
164,187.596,0.1
164,194.883,0.05
164,201.351,0.025
164,209.047,0.01
164,214.396,0.005
164,220.997,0.002
165,121.965,0.995
165,125.7,0.99
165,131.326,0.975
165,136.299,0.95
165,142.19,0.9
165,152.411,0.75
165,164.334,0.5
165,176.863,0.25
165,188.667,0.1
165,195.973,0.05
165,202.459,0.025
165,210.176,0.01
165,215.539,0.005
165,222.156,0.002
166,122.823,0.995
166,126.572,0.99
166,132.218,0.975
166,137.209,0.95
166,143.119,0.9
166,153.374,0.75
166,165.334,0.5
166,177.9,0.25
166,189.737,0.1
166,197.064,0.05
166,203.567,0.025
166,211.304,0.01
166,216.68,0.005
166,223.314,0.002
167,123.682,0.995
167,127.445,0.99
167,133.111,0.975
167,138.118,0.95
167,144.049,0.9
167,154.337,0.75
167,166.334,0.5
167,178.937,0.25
167,190.808,0.1
167,198.154,0.05
167,204.675,0.025
167,212.431,0.01
167,217.821,0.005
167,224.472,0.002
168,124.541,0.995
168,128.318,0.99
168,134.003,0.975
168,139.028,0.95
168,144.979,0.9
168,155.3,0.75
168,167.334,0.5
168,179.974,0.25
168,191.878,0.1
168,199.244,0.05
168,205.782,0.025
168,213.558,0.01
168,218.962,0.005
168,225.629,0.002
169,125.401,0.995
169,129.191,0.99
169,134.897,0.975
169,139.939,0.95
169,145.909,0.9
169,156.263,0.75
169,168.334,0.5
169,181.011,0.25
169,192.948,0.1
169,200.334,0.05
169,206.889,0.025
169,214.685,0.01
169,220.102,0.005
169,226.786,0.002
170,126.261,0.995
170,130.064,0.99
170,135.79,0.975
170,140.849,0.95
170,146.839,0.9
170,157.227,0.75
170,169.334,0.5
170,182.047,0.25
170,194.017,0.1
170,201.423,0.05
170,207.995,0.025
170,215.812,0.01
170,221.242,0.005
170,227.942,0.002
171,127.122,0.995
171,130.938,0.99
171,136.684,0.975
171,141.76,0.95
171,147.769,0.9
171,158.19,0.75
171,170.334,0.5
171,183.084,0.25
171,195.087,0.1
171,202.513,0.05
171,209.102,0.025
171,216.938,0.01
171,222.382,0.005
171,229.098,0.002
172,127.983,0.995
172,131.813,0.99
172,137.578,0.975
172,142.671,0.95
172,148.7,0.9
172,159.154,0.75
172,171.334,0.5
172,184.12,0.25
172,196.156,0.1
172,203.602,0.05
172,210.208,0.025
172,218.063,0.01
172,223.521,0.005
172,230.253,0.002
173,128.844,0.995
173,132.687,0.99
173,138.472,0.975
173,143.582,0.95
173,149.631,0.9
173,160.117,0.75
173,172.334,0.5
173,185.157,0.25
173,197.225,0.1
173,204.69,0.05
173,211.313,0.025
173,219.189,0.01
173,224.66,0.005
173,231.408,0.002
174,129.706,0.995
174,133.563,0.99
174,139.367,0.975
174,144.494,0.95
174,150.562,0.9
174,161.081,0.75
174,173.334,0.5
174,186.193,0.25
174,198.294,0.1
174,205.779,0.05
174,212.419,0.025
174,220.314,0.01
174,225.798,0.005
174,232.563,0.002
175,130.568,0.995
175,134.438,0.99
175,140.262,0.975
175,145.406,0.95
175,151.493,0.9
175,162.045,0.75
175,174.334,0.5
175,187.229,0.25
175,199.363,0.1
175,206.867,0.05
175,213.524,0.025
175,221.438,0.01
175,226.936,0.005
175,233.717,0.002
176,131.43,0.995
176,135.314,0.99
176,141.157,0.975
176,146.318,0.95
176,152.425,0.9
176,163.009,0.75
176,175.334,0.5
176,188.265,0.25
176,200.432,0.1
176,207.955,0.05
176,214.628,0.025
176,222.563,0.01
176,228.074,0.005
176,234.87,0.002
177,132.293,0.995
177,136.19,0.99
177,142.053,0.975
177,147.23,0.95
177,153.356,0.9
177,163.973,0.75
177,176.334,0.5
177,189.301,0.25
177,201.5,0.1
177,209.042,0.05
177,215.733,0.025
177,223.687,0.01
177,229.211,0.005
177,236.023,0.002
178,133.157,0.995
178,137.066,0.99
178,142.949,0.975
178,148.143,0.95
178,154.288,0.9
178,164.937,0.75
178,177.334,0.5
178,190.337,0.25
178,202.568,0.1
178,210.13,0.05
178,216.837,0.025
178,224.81,0.01
178,230.347,0.005
178,237.176,0.002
179,134.02,0.995
179,137.943,0.99
179,143.845,0.975
179,149.056,0.95
179,155.22,0.9
179,165.901,0.75
179,178.334,0.5
179,191.373,0.25
179,203.636,0.1
179,211.217,0.05
179,217.941,0.025
179,225.933,0.01
179,231.484,0.005
179,238.328,0.002
180,134.884,0.995
180,138.82,0.99
180,144.741,0.975
180,149.969,0.95
180,156.153,0.9
180,166.865,0.75
180,179.334,0.5
180,192.409,0.25
180,204.704,0.1
180,212.304,0.05
180,219.044,0.025
180,227.056,0.01
180,232.62,0.005
180,239.48,0.002
181,135.749,0.995
181,139.698,0.99
181,145.638,0.975
181,150.882,0.95
181,157.085,0.9
181,167.83,0.75
181,180.334,0.5
181,193.444,0.25
181,205.771,0.1
181,213.391,0.05
181,220.148,0.025
181,228.179,0.01
181,233.755,0.005
